Respondent ,Gender ,Education ,Occupation ,Age ,Online shopping frequency ( self perception ),I prefer online shopping because it is time saving ,I prefer online shopping because it leads to less direct face to face interaction ,I prefer online shopping of convenience of delivery and online checking ,I prefer online shopping because availability of a variety of Goods ,I prefer online shopping because there is no hassle of parking ,I prefer online shopping because there is easy exchange or return of goods process available ,I prefer e shopping because there is customer help available easily ,I like the promotional effect of e shopping ,I like various interactive features on e commerce website  ,I prefer online shopping because of great after purchase care policy ,I prefer the online shopping because easy navigation of website and discovering new products easily ,I prefer online shopping because it is very cost effective  ,I prefer online shopping because I am easily able to compare prices ,"I prefer online shopping because it may take care of additional cost of software , house installations and other related costs of purchasing  such as transport",I prefer online shopping because of nominal delivery fees,I prefer online shopping because it makes me look cool and modern ,I prefer online shopping people give good feedback,I prefer online shopping because it gives me reason to bond with other people ,I prefer online shopping because it helps me quarantine during COVID ,I prefer online shopping because it helps me follow WHO Guideline to ,COVID has prompted me buy new stuff online ,Govt Guidelines during COVID has prompted online shopping  ,COVID has substantially increased my online frequency   ,"During COVID , my experience of online sopping has improved substantially ","During COVID , my online shopping expenditure has increased considerably ",I like buying online to feel happy ( online retail therapy)
Customer 236,Male,Under Graduate,Student,19-29,Regularly,5,1,4,4,1,5,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 237,Female,Under Graduate,Student,19-29,Normally,4,4,5,5,5,4,3,3,4,3,4,4,5,3,4,1,4,1,3,3,3,2,3,2,2,2
Customer 238,Female,Under Graduate,Student,19-29,Normally,2,4,3,3,5,3,4,3,4,4,4,4,4,3,3,1,3,2,5,3,4,4,4,2,4,3
Customer 239,Female,Option 5,Housewife,30-39,Very Often,3,3,3,3,3,3,5,5,1,3,4,1,2,1,1,5,2,2,1,5,5,5,2,2,2,1
Customer 240,Male,Under Graduate,Student,19-29,Very Often,4,1,5,5,3,5,5,2,4,3,3,5,5,5,5,1,3,1,5,5,4,4,2,2,2,3
Customer 241,Male,Under Graduate,Student,19-29,Regularly,5,4,5,5,3,3,3,5,3,3,3,5,4,3,2,2,2,2,2,4,2,2,2,2,2,4
Customer 242,Female,Under Graduate,Professionally employed,19-29,Very Often,5,4,4,4,5,5,4,4,4,4,5,4,5,4,3,2,4,2,4,4,4,4,3,3,3,4
Customer 243,Male,Under Graduate,Student,19-29,Very Often,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,2,4,2,3,4,4,3,5,3,3,3
Customer 244,Male,Post Graduate,Professionally employed,19-29,Rarely,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,4,4,3
Customer 245,Female,Under Graduate,Student,19-29,Normally,3,1,3,3,1,1,2,1,3,2,2,1,4,3,3,3,3,2,4,3,4,4,4,4,4,4
Customer 246,Male,Post Graduate,Student,30-39,Regularly,5,1,5,5,5,5,3,3,4,3,4,4,4,1,4,2,4,1,3,4,3,3,3,3,3,3
Customer 247,Female,Post Graduate,Professionally employed,30-39,Normally,4,4,5,4,3,5,3,4,4,3,4,4,4,3,2,2,4,2,4,2,4,4,5,4,4,4
Customer 248,Male,Post Graduate,Others,50 and above,Extremely rare,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 249,Female,Post Graduate,Professionally employed,50 and above,Rarely,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,1,2
Customer 250,Male,Under Graduate,Student,19-29,Rarely,3,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3
Customer 251,Female,Under Graduate,Student,19-29,Normally,4,4,5,5,5,1,4,3,1,3,5,5,4,4,3,3,2,1,3,2,1,4,4,4,2,5
Customer 252,Male,Under Graduate,Student,19-29,Normally,2,5,3,4,1,4,3,3,3,4,1,4,3,3,4,1,4,4,2,3,2,1,3,2,4,3
Customer 253,Male,Under Graduate,Professionally employed,19-29,Rarely,4,4,4,1,4,5,4,2,4,4,5,5,5,4,4,2,3,3,4,3,4,4,3,3,3,4
Customer 254,Male,Option 5,Professionally employed,50 and above,Normally,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Customer 255,Female,Under Graduate,Student,19-29,Very Often,5,2,3,5,3,4,5,3,4,3,4,3,4,3,3,2,3,1,3,2,1,4,2,2,2,5
Customer 256,Male,Under Graduate,Professionally employed,19-29,Normally,3,2,1,3,1,3,2,4,3,3,1,3,3,2,1,5,2,2,5,4,5,4,5,4,3,4
